event_id,busines_obrazovanie,teatr_kino,tanci_balli,vecherinki_shou,vistavki_tvorchestvo,umor,koncerti_festivali,moda,igri_kvesti,romantika,activniy_otdih
fb6e6897-9461-4e63-ac67-3aeb3cedd46c,,,,,,,1.0,,,,
f891b72d-6b6c-445f-863a-974097a0db4a,,,,,,,1.0,,,,
d3188fb9-7421-42d8-a1f0-120badf97c62,,,,,,,1.0,,,,
f3d93d3d-5c28-4821-aa80-5547bf875525,,,,,,,1.0,,,,
67e96cd7-5199-4fee-a7ce-3f95aba0352d,,,,,,,1.0,,,,
3c2eb99e-3c8d-4684-8016-f5c3e9582813,,,,1.0,,,1.0,,,,
1914fe18-301a-4497-9d36-852a1a5d2b1b,,,,,,,1.0,,,,
90d00a67-641a-46f4-96c1-df942779e03f,,1.0,,,,,,,,,
5c6197fc-9c59-4ded-8e7a-f4249dcfed75,,1.0,,,,,1.0,,,,
adb1820b-24d2-4b6d-b614-405bda482ac2,,,,,,,1.0,,,,
fc09a712-4e34-49a0-a795-c936cbe3e329,,1.0,,1.0,,,,,,,
47df8c98-3a48-4687-b7bb-0b4902bfc131,,,,,,,,,,,1.0
ac7063a1-aca5-4df0-b657-148c1b8784ac,,,,,,,1.0,,,,
40998086-fcb5-444c-9250-e506353de73b,,,,,,,1.0,,,,
95e95797-d4be-4389-bfc5-83a02cf32b0e,,1.0,,,,,1.0,,,,
20b99d52-459e-42be-be4a-89360cdc5b29,,,,,,,1.0,,,,
2a417b62-14a3-4cf0-be19-25e6eb740840,,1.0,,,,,1.0,,,,
6a506c42-6e88-470a-a06c-a227df139555,,,,,,,1.0,,,,
b7b105e3-8121-4cc5-ac60-af77e30e96c1,,,,,,,1.0,,,,
e94897da-d350-4f11-bb68-924236e4d136,,1.0,,,,,1.0,,,,
88817f6a-527f-4aa6-9bfa-266d99ac5b1e,,,,,,,1.0,,,,
2e016d1c-43f1-43a6-b64c-d3ee36995440,,1.0,,,,,,,,,
e3f71b0f-4fdc-4888-9aee-a2fa8d59d3d0,,1.0,,,,,1.0,,,,
79385b25-0dee-403d-bb76-51114082b599,,1.0,,,,,1.0,,,,
bda923ce-413c-4d8a-9096-583232391d52,,1.0,,,,,,,,,
5651ccec-31d4-4cc8-bfb3-b5af26c007c7,,1.0,,,,,,,,,
d0509c16-39ca-4eef-97d8-a68702ae5c89,,1.0,,,,,,,,,
4539b3a7-a458-4422-920b-e938094d30d7,,,,1.0,,,1.0,,,,
cf28d269-672d-47cf-8aef-212bd6a7d81d,,,,,,,1.0,,,,
0f256b65-61a2-4e13-b5f4-6e4456376e99,,1.0,,,,,,,,,
4897ab8a-8b29-4952-84cd-5a09d13e5366,,,,,,,1.0,,,,
0b0f4c9e-5435-4e6e-b44a-ab01544207ed,,,,,,,1.0,,,,
fc3c5bdb-d86b-42f2-b414-9d7419636fb5,,1.0,,,,,1.0,,,,
679769fc-073c-448e-847d-9dd840715a4f,,,,,,,1.0,,,,
a27f59a5-3586-4071-94be-0280a43061e8,,,,,,,1.0,,,,
f97be0fe-da5d-4a18-b31e-55b67aecb797,,1.0,,,,,,,,,
f7968ef2-22c7-46a9-90f8-ad7a787bdbb3,1.0,,,,,,,,,,
cbd0848a-0e08-492a-a5b9-e05286ee19cc,,1.0,,,,,,,,,
96fac901-df0f-400b-816f-94ec346cfbe5,,,,,,,1.0,,,,
0ca4473b-14af-492f-8d39-16db766338b7,,,,,1.0,,,,,,
8eda2620-7656-4090-ad41-57e0494fb4ef,,,,,,,1.0,,,,1.0
66a00401-449c-4802-8a8b-d619775de762,,,,,1.0,,,,,,
